,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,3PA,PPG,RPG,TRB%,APG,SPG,BPG,TOPG
1500,Marcus Morris,Bos,SF,28,19,29.6,61.6,21.4,0.071,59,0.712,151,72,12.4,5.4,10.1,1.1,0.37,0.32,1
1501,Marcus Smart,Bos,PG,23,15,29.9,62.4,20.1,0.179,49,0.735,75,68,9.8,3.7,6.9,5.3,1.73,0.67,2.4
1502,Markelle Fultz,Phi,PG,19,3,7.6,15.9,18.2,0.102,4,0.75,7,0,1.7,1,7,1.7,0.67,0,0.33
1503,Markieff Morris,Was,PF,28,6,30.2,63,14.5,0.101,10,0.9,37,12,9.8,7.5,14.1,1.7,0.67,0.83,1
1504,Matthew Dellavedova,Mil,PG,27,6,12.9,26.9,11,0.318,2,1,3,9,2,0.8,3.8,2.7,0.33,0,1
1505,Maurice Harkless,Por,SF,24,2,26.7,55.5,11.5,0.071,0,0,7,6,8,4,8.2,2,0,0.5,0.5
1506,Meyers Leonard,Por,PF,25,2,4.1,8.4,21.7,0,0,0,4,0,4,2,26.9,0,0,0,0
1507,Mike Scott,Was,PF,29,6,21,43.8,17,0.103,6,1,30,11,10.8,3.5,9.5,0.7,0.33,0.17,0.83
1508,Myles Turner,Ind,C,21,7,28,58.3,16.8,0.15,19,0.789,41,13,12.4,5.3,10.7,0.6,0.29,0.57,1.57
1509,Nemanja Bjelica,Min,PF,29,5,9.4,19.6,18.9,0.05,7,0.714,9,7,4.6,3,18.3,0.6,0.6,0,0.2
1510,Nene,Hou,C,35,11,9.8,20.3,13.5,0.244,11,0.636,20,0,2.8,2.5,14.7,0.5,0.18,0.45,0.73
1511,Nick Young,Gol,SG,32,20,10.3,21.4,12.6,0.034,8,0.75,6,47,2.6,0.6,3.3,0.2,0.1,0,0.1
1512,Nikola Mirotic,Nor,PF,26,9,35.5,74.1,16.3,0.083,19,0.789,51,51,15,9.6,14.5,1.7,1.11,1.33,1.11
1513,Norman Powell,Tor,SG,24,6,6.7,13.9,18.4,0.06,4,0.75,7,7,2,0.3,2.8,0.3,0,0,0.17
1514,OG Anunoby,Tor,SF,20,10,23.8,49.6,11.6,0.095,11,0.727,23,29,7.9,2.1,5,0.7,0.6,0.4,0.6
1515,Otto Porter Jr.,Was,SF,24,5,31.6,65.9,13.3,0.063,8,0.625,29,12,10,5,9,1.6,1.2,1,0.6
1516,Pascal Siakam,Tor,PF,23,10,17.9,37.2,14,0.123,20,0.65,37,4,6.6,3.6,11.4,0.8,0.1,0.6,0.7
1517,Pat Connaughton,Por,SG,25,4,14.8,30.8,12.5,0.059,2,1,5,10,4,1,3.7,1.5,0.25,0.25,0.25
1518,Patrick Patterson,Okc,PF,28,6,9.6,20.1,6.7,0.333,0,0,2,4,1.3,1.8,10.5,0.5,0.17,0,0.5
1519,Patty Mills,San,PG,29,5,33,68.7,18.5,0.132,5,0.8,22,35,13.4,2,3.4,2.6,0.6,0.2,1.8
1520,Pau Gasol,San,C,37,5,18.1,37.6,15.1,0.197,10,0.9,17,3,6,4.8,14.8,2.8,0,0.2,1.2
1521,Paul George,Okc,SF,27,6,41.9,87.2,27.3,0.15,36,0.861,68,52,24.7,6,7.9,2.7,1.33,0.67,4
1522,PJ Tucker,Hou,SF,32,17,33.5,69.8,10.1,0.108,18,0.667,33,75,8.9,6.5,11,1.3,0.65,0.76,0.82
1523,Quinn Cook,Gol,PG,24,17,10.3,21.4,20.1,0.063,17,0.824,36,31,4.8,1.4,7.3,0.6,0.24,0.12,0.29
1524,Rajon Rondo,Nor,PG,31,9,33.6,70,18.8,0.252,14,0.643,73,19,10.3,7.6,12.1,12.2,1.44,0.22,3.67
1525,Raul Neto,Uta,PG,25,8,9,18.8,18.2,0.137,5,1,16,7,2.6,1.3,7.8,1.3,0.25,0,0.5
1526,Raymond Felton,Okc,PG,33,6,13.1,27.3,20.1,0.136,2,0,17,14,5.2,2.2,9.1,1.5,0.67,0.33,0.83
1527,Richaun Holmes,Phi,PF,24,3,3.6,7.6,3.9,0,0,0,1,0,0,0.3,4.9,0.3,0,0,0
1528,Ricky Rubio,Uta,PG,27,6,30.1,62.7,26.6,0.168,23,0.783,47,32,14,7.3,13.7,7,1.33,0.5,3
1529,Robert Covington,Phi,SF,27,10,28.1,58.6,15.2,0.11,16,0.75,34,48,8.1,5.2,9.9,2.5,1.1,0.9,1.1
1530,Rodney Hood,Cle,SG,25,17,15.3,31.8,19,0.118,12,0.75,68,24,5.4,1.8,6.8,1.1,0.29,0.29,0.76
1531,Rodney McGruder,Mia,SG,26,4,4,8.4,11.1,0,0,0,2,2,0.5,1,13.9,0,0,0,0
1532,Royce O'Neale,Uta,SF,24,11,23.6,49.1,13.9,0.199,19,0.632,28,28,7.1,3.5,8.3,1.4,0.91,0.36,1.45
1533,Rudy Gay,San,SF,31,5,31.9,66.5,21,0.08,9,0.556,47,18,12.2,5.6,9.7,2.2,1.6,0.2,1.2
1534,Rudy Gobert,Uta,C,25,11,34.8,72.6,15.3,0.161,58,0.603,84,0,13.2,10.7,17.4,1,0.91,2.27,1.91
1535,Russell Westbrook,Okc,PG,29,6,39.3,81.8,38.2,0.148,40,0.825,119,42,29.3,12,16.9,7.5,1.5,0,5.17
1536,Ryan Anderson,Hou,PF,29,11,8.7,18,10.7,0.13,0,0,5,15,1.7,1.2,7.7,0.5,0.27,0.09,0.27
1537,Semi Ojeleye,Bos,PF,23,17,13.5,28.2,7.4,0.053,7,0.857,11,22,1.9,1.6,6.7,0.1,0.18,0,0.12
1538,Serge Ibaka,Tor,PF,28,10,26,54.1,16.5,0.164,22,0.818,48,24,8.7,5.9,12.8,1.1,0.1,1.3,1.6
1539,Shabazz Muhammad,Mil,SF,25,4,7.2,14.9,38.4,0.083,5,0.6,15,5,6.3,1,8.2,0,0.5,0.25,0.5
1540,Shabazz Napier,Por,PG,26,2,17.5,36.5,22.4,0.336,2,0.5,7,4,5.5,1,3.1,1.5,1.5,0,3
1541,Shane Larkin,Bos,PG,25,11,14,29.2,12.6,0.139,5,1,22,13,3.7,1,3.9,1.8,0.45,0,0.55
1542,Shaun Livingston,Gol,PG,32,21,17.2,35.9,16.7,0.117,25,0.88,109,1,6.7,2.3,7.4,1.5,0.33,0.05,0.76
1543,Solomon Hill,Nor,SF,26,9,12.7,26.4,13.4,0.169,10,0.9,9,16,3.7,1.9,8,0.8,0.11,0.11,0.67
1544,Stephen Curry,Gol,PG,29,15,37,77.1,29.2,0.117,47,0.957,142,162,25.5,6.1,9.1,5.4,1.73,0.73,2.87
1545,Sterling Brown,Mil,SG,22,3,4.2,8.7,18.2,0,0,0,2,3,2.3,0.7,9.4,0,0.33,0,0
1546,Steven Adams,Okc,C,24,6,33.4,69.5,11.9,0.072,13,0.692,46,0,10.5,7.5,12.4,1.5,0.67,0.67,0.67
1547,T.J. McConnell,Phi,PG,25,10,15.5,32.3,12.1,0.136,5,0.6,33,3,5.5,2.5,8.7,2.3,0.6,0,0.6
1548,Taj Gibson,Min,PF,32,5,24.6,51.3,9.8,0.146,3,1,22,0,6.2,4,9.3,0.4,0.2,0.4,0.8
1549,Tarik Black,Hou,C,26,7,2.7,5.6,11.8,0.2,0,0,4,0,0.3,0.9,17.9,0.3,0,0.14,0.14
1550,Terrance Ferguson,Okc,SG,19,3,2.1,4.4,6.7,0,0,0,0,1,1,0.3,8.6,0.3,0,0,0
1551,Terry Rozier,Bos,PG,23,19,36.6,76.3,20.2,0.07,56,0.821,119,147,16.5,5.2,7.9,5.7,1.26,0.32,1.16
1552,Thaddeus Young,Ind,PF,29,7,33.8,70.5,13.7,0.096,13,0.385,53,7,11.3,7.6,12.7,1.4,1.57,0.86,1
1553,Thon Maker,Mil,PF,20,6,21.6,45,12.3,0.114,7,0.714,8,20,5.5,3.8,10.4,0.8,0.17,1.83,0.67
1554,Tim Frazier,Was,PG,27,2,3.1,6.4,7.2,0,0,0,1,0,0,0.5,9.3,1.5,0.5,0,0
1555,TJ Leaf,Ind,PF,20,1,3.7,7.7,0,,0,0,0,0,0,0,0,0,0,0,0
1556,Tomas Satoransky,Was,SG,26,6,10,20.8,13.1,0.169,4,0.75,10,3,1.2,1.5,8.5,0.5,0,0,0.5
1557,Tony Bradley,Uta,C,20,1,1.9,4,47.3,0,0,0,2,0,2,1,29.7,0,0,0,0
1558,Tony Parker,San,PG,35,5,13.3,27.8,29.6,0.091,7,0.714,32,5,6.6,0.8,3.3,1.2,0.4,0,0.8
1559,Tony Snell,Mil,SF,26,7,19.1,39.8,9.2,0.111,0,0,3,21,2.7,1.9,5.7,0.6,0.43,0.57,0.43
1560,Trevor Ariza,Hou,SF,32,17,34.2,71.3,12.4,0.061,31,0.742,48,91,8.8,3.8,6.3,1.3,1.12,0.12,0.59
1561,Trevor Booker,Ind,PF,30,7,9.1,19,9.9,0.071,7,0.857,9,1,2.6,2.6,16,0,0.14,0.14,0.14
1562,Tristan Thompson,Cle,C,26,19,21.9,45.6,11.4,0.104,27,0.741,82,1,6.2,5.9,15.3,0.6,0.11,0.42,0.58
1563,Ty Lawson,Was,PG,30,5,19.3,40.1,14.5,0.095,6,1,18,8,5.8,2.6,7.7,3,0.6,0,0.6
1564,Tyler Johnson,Mia,SG,25,5,16.2,33.7,17.2,0.064,7,0.857,16,10,8,1.6,5.5,0.8,0.4,0,0.4
1565,Tyler Zeller,Mil,C,28,7,9.4,19.6,5.3,0.129,4,0.75,5,0,1.6,2,12.5,0.4,0.57,0.43,0.14
1566,Tyus Jones,Min,PG,21,4,13.8,28.6,6.4,0.125,0,0,5,2,1,2.3,9.4,2,0.25,0,0.25
1567,Victor Oladipo,Ind,SG,25,7,37.3,77.6,29,0.142,41,0.732,70,57,22.7,8.3,12.6,6,2.43,0.43,3.43
1568,Wade Baldwin IV,Por,PG,21,4,4.8,9.9,18.1,0.381,2,0.5,3,1,1,0.8,8.6,0.8,0.25,0.25,0.75
1569,Wayne Ellington,Mia,SG,30,5,20.1,42,17.5,0.076,3,1,5,30,7.8,1.6,4.4,0.6,0.4,0.4,0.6
1570,Zach Collins,Por,C,20,4,17.4,36.3,21.3,0.059,4,0.75,16,14,7,3,9.4,1.5,0.75,0.5,0.5
1571,Zaza Pachulia,Gol,C,33,7,3.8,7.9,25.5,0.196,12,0.75,7,0,2.4,1.7,25.3,0.1,0.43,0.14,0.43
1572,Zhou Qi,Hou,PF,22,3,1.9,4,7.6,0,0,0,1,0,0.7,0.3,9.7,0,0,0,0
