,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,3PA,PPG,RPG,TRB%,APG,SPG,BPG,TOPG
1358,Marcus Smart,Bos,G,25.27,2,16.3,33.9,22.4,18,6,0.667,0,11,3.5,2,6.3,2,1.5,0,1.5
1359,Chris Boucher,Tor,F,26.42,2,2.1,4.3,60,0,1,0,2,3,2.5,0.5,13.5,0,0,0.5,0
1360,TJ Leaf,Ind,F,22.12,1,9.8,20.4,18.2,0,2,1,2,1,2,3,16.7,0,0,0,0
1361,Jon Leuer,Det,F,30.09,1,4.9,10.2,20.9,0,1,0,2,0,2,0,0,0,0,0,0
1362,Kyle O'Quinn,Ind,C,29.22,1,1.6,3.3,28.7,100,0,0,0,0,0,0,0,0,0,0,1
1363,Edmond Sumner,Ind,G,23.45,1,1.6,3.3,0,,0,0,0,0,0,2,68.2,0,0,0,0
1364,Aaron Brooks,Min,PG,33,2,1.4,2.8,63.7,0,2,0,2,1,2,0,0,0,0,0,0
1365,Aaron Jackson,Hou,F,31,7,2.4,5.1,17.8,0.291,2,0.5,2,2,0.7,0.6,13.1,0.3,0,0,0.29
1366,Abdel Nader,Bos,SF,24,11,3,6.3,25.5,0.107,4,0.5,11,4,1.1,0.3,5,0.3,0.09,0.09,0.18
1367,Al Horford,Bos,C,31,19,35.7,74.4,17.8,0.119,75,0.827,161,43,15.7,8.3,12.8,3.3,1,1.16,1.68
1368,Alec Burks,Uta,SG,26,9,13.4,27.9,28.9,0.103,15,0.867,43,20,9.1,2.7,11.2,1.9,0.44,0.11,0.89
1369,Alex Abrines,Okc,SG,24,6,18.3,38.2,8.5,0.046,2,1,7,13,4,2.5,7.5,0.3,0.83,0.33,0.17
1370,Al-Farouq Aminu,Por,SF,27,4,32.7,68.2,19.7,0.102,2,1,22,30,17.3,9,15,1.3,1,0.5,1.5
